715338,欣銓永豐05購01
715722,穩懋元大05購09
716580,頎邦國票08購01
712401,鈺太群益02購01
713008,優群永豐01購01
709067,統新統一01購01
712243,群聯元大9C購03
713425,環球晶凱基03購02
714347,富喬康和03購01
714499,倉和元大03購03
73445P,昇佳電國泰02售02
707491,櫃200T永昌9C購01
713343,大田凱基01購01
712629,旺矽統一01購01
3218,大學光
5483,中美晶
713692,精測元富05購01
716843,雍智國票07購02
716450,元太富邦08購02
3597,映興
716636,博智凱基07購01
714915,倉和凱基04購03
716038,M31富邦06購01
713249,環球晶凱基01購06
716777,晶焱元大06購02
712384,久元永豐01購01
713492,穩懋元大03購01
715860,穩懋國票07購02
716511,璟德兆豐06購03
4973,廣穎
713422,倉和凱基03購01
714876,萬潤元大04購01
713351,原相統一01購05
713353,原相統一03購03
73436P,穩懋元大02售03
712132,元太元大9C購05
712459,優群元富01購01
715141,僑威國票05購01
712955,穩懋兆豐03購01
714285,穩懋兆豐04購01
73670P,力旺群益05售01
3092,鴻碩
6190,萬泰科
8083,瑞穎
713470,精測凱基02購05
715915,精測元大05購04
713983,立端康和03購01
8938,明安
711394,頎邦國票9C購01
73504P,僑威國票03售02
715015,合晶群益05購01
5328,華容
711817,力旺群益01購01
713479,元太凱基03購01
716417,威剛群益06購02
8424,惠普
714163,佳邦國票04購01
714559,聖暉群益03購01
714366,明安統一05購01
713232,信驊元富07購02
713570,良維元大02購01
711446,邦特國票9C購01
715760,雙鴻群益05購06
715359,璟德兆豐06購01
715196,信驊元大04購05
708924,穩懋永昌9C購01
713948,大江元大03購02
712223,鈺太兆豐01購02
712257,璟德凱基9C購01
712758,世界富邦03購01
716215,原相元富08購02
8289,泰藝
711376,群聯富邦9C購01
712185,譜瑞元大01購06
712005,譜瑞國票01購01
713012,神盾元大02購05
716432,威剛統一08購01
713911,鈺太群益03購02
715842,宏捷科凱基06購04
716150,新鉅科康和05購01
73469P,創惟凱基02售01
73603P,雙鴻元富08售02
73694P,環球晶元富05售02
6234,高僑
713825,宣德元大02購05
714844,群聯永豐04購01
713684,宇峻國票03購01
715612,原相元富0B購01
716698,力旺兆豐06購02
3707,漢磊
712722,禾瑞亞凱基01購01
713155,久元群益01購02
716618,世界永豐06購01
713904,合晶凱基02購02
716615,精材群益09購01
6265,方土昶
712147,精測統一01購02
712630,威剛統一02購01
713063,精測元大01購11
73307P,元太群益9C售02
713475,閎康群益02購01
713509,前鼎群益04購01
714572,宣德凱基03購05
714751,康全電凱基05購01
5520,力泰
711393,金居國票9C購01
713256,迅得群益02購01
713206,弘塑群益01購03
716059,威剛永豐05購01
711794,環球晶群益01購02
712999,桂盟永豐01購02
712589,旺矽元大01購04
716175,精材元大05購15
716534,昇佳電國票07購01
716649,精材國泰08購03
73346P,大學光元大01售02
714812,波若威元富06購01
00860B,群益1-5年IG債
3552,同致
712264,穩懋統一01購05
8047,星雲
711315,精測麥證9C購01
712056,頎邦國票01購01
713224,鈺太凱基01購02
716301,合晶國票07購01
3260,威剛
713955,穩懋第一03購01
714302,健喬群益03購01
715639,倉和元大08購01
73541P,璟德元大03售03
73750P,群聯元富0C售03
711935,力旺統一01購01
714289,松瑞藥凱基03購01
73771P,譜瑞元富06售02
711678,穩懋統一01購03
713523,雙鴻凱基02購03
715119,創惟兆豐04購01
713795,前鼎元大02購02
713854,世界兆豐03購01
713991,頎邦永豐03購01
716714,精材元大08購01
5281,大峽谷-KY
712376,力旺國泰03購01
715538,熱映群益05購01
716962,系微凱基06購02
714136,鈺太群益04購02
714154,中菲行統一04購01
715380,宏捷科凱基05購03
5452,佶優
712414,金居群益03購01
714596,鈺太國票03購02
715514,威剛凱基05購01
715880,原相富邦07購01
712316,網家元大9C購03
716844,鈊象國票07購04
73460P,中菲行康和02售02
5013,強新
713203,宣德永豐01購05
713338,世界國票03購01
714997,原相國票04購02
714145,宣德凱基03購04
2230,泰茂
3623,富晶通
712248,精測永豐9C購02
716182,瑞基凱基05購01
716252,廣運統一06購04
716736,世界元大07購01
73664P,環球晶兆豐05售03
712613,昇佳電統一05購02
715445,統新凱基06購01
73500P,宣德凱基03售03
73447P,大江元大02售01
5703,亞都
714805,碩禾元大04購01
715026,欣銓國票05購01
714782,藏壽司永豐04購01
715389,穩懋國票06購01
712674,信驊群益01購02
713423,神盾凱基01購03
716076,原相元大05購04
712017,胡連統一02購01
6227,茂綸
713968,鈊象凱基03購04
714746,加百裕凱基04購01
715730,信昌電永豐05購02
716802,波若威國票08購01
00869B,FT10-25年公司債
6212,理銘
715630,精材中信07購02
714236,M31統一03購02
715232,泰博元大04購04
715802,大中元大05購01
73364P,精材元大01售01
711765,中美晶凱基02購01
