03848P,國泰金元大03售02
075914,台積電元大05購11
079356,友達凱基07購05
00775B,新光投等債15+
066449,瀚宇博群益01購01
078681,群創元大06購04
04808P,臺股指凱基05售16
060205,台灣50麥證02購01
064143,旺宏統一01購05
066240,泰鼎富邦03購01
073543,啟碁永豐04購01
077345,新光鋼群益06購01
05316P,台達電國票06售01
066846,京鼎元大01購03
069288,玉晶光國泰08購01
071365,SP黃豆群益03購03
076484,創意群益05購02
076591,國巨兆豐06購03
078492,圓剛國票07購01
2208,台船
03480B,臺股指凱基0C熊02
04719P,大立光凱基05售08
067970,玉晶光群益02購20
069433,元大金群益02購01
071253,義隆麥證03購01
072317,世紀鋼元富09購01
073891,牧德兆豐05購01
076816,全新富邦05購01
079077,瀚宇博永豐06購01
3052,夆典
04246P,嘉澤元富07售03
068223,京鼎統一03購02
070905,智易元大04購01
071104,T50反1國票06購01
075869,南電兆豐05購01
079501,上緯控凱基06購06
066534,華通台新01購02
071171,台灣50麥證03購01
08069P,大立光國泰01售02
08388P,台灣50中信03售09
072325,鴻海富邦05購01
075961,帆宣永豐05購01
076043,台化國票06購01
077606,大立光國泰08購02
065559,超眾凱基9C購03
068644,臺股指凱基03購10
070527,崇越元大02購01
063671,GIS統一01購01
070827,世紀鋼元大03購03
075316,燿華元大05購01
075982,萬海群益05購02
6251,定穎
064207,國巨凱基03購02
064947,台積電凱基01購08
065387,台光電兆豐9C購02
067016,康控富邦04購01
03977P,瑞儀國票04售01
067847,大立光元富01購02
067855,達方國票02購01
069443,金像電元富02購01
071335,南電統一05購03
075077,日月光凱基06購01
077381,嘉澤元大05購02
078091,強茂統一08購01
065899,神基麥證9C購02
068727,全新元大02購02
079144,金像電元大06購03
063435,儒鴻統一01購02
069355,台塑永豐02購01
069883,臺股指國票02購11
075136,台積電永豐05購01
076343,臺股指元大05購28
062673,台新金中信03購01
067802,台積電凱基07購01
070472,欣興群益02購14
072893,元金2X凱基07購01
073112,順德元富07購01
075778,永豐餘凱基05購01
076671,T50反1凱基05購03
064672,同欣電元大01購01
067458,台積電永豐01購02
067673,義隆元大01購06
069851,聯電永豐02購07
070308,潤泰新凱基03購01
071191,晶碩元大03購01
075762,聯電兆豐06購04
078284,晶碩國票07購01
03961P,台灣50凱基05售04
065583,超眾國泰02購01
066754,南電國泰02購01
071752,上証2X元大03購09
2390,云辰
061359,台灣50兆豐9C購02
067825,南港兆豐03購01
062947,國巨富邦01購01
073933,聯茂元大05購02
08669P,聯發科群益02售02
03356P,南電凱基02售05
04259P,台灣50元大04售06
075545,臺指2X群益05購01
08852P,台灣50台新01售01
069549,聯發科元大02購20
072459,上緯控元大03購06
074976,智易富邦06購01
03264P,聯茂國票04售01
065610,牧德元大02購01
073882,奇鋐永豐04購02
077008,緯穎麥證05購01
04401P,健策國票05售03
070222,臺股指元大03購16
071445,南亞科統一05購01
03682C,臺股指凱基9C牛07
062999,聯茂國票9C購01
075318,國揚元大05購01
076253,元金2X國票06購01
076280,喬山兆豐06購01
079634,正隆康和07購01
03798P,聯發科國票04售02
04222P,潤泰新國票04售02
062780,旺宏元大01購01
064446,聚陽統一02購02
065186,和大統一02購06
065636,台表科國票01購03
067372,聯發科統一03購03
067456,滬深2X國泰02購01
069417,玉晶光統一03購05
069463,智伸科兆豐03購02
069605,敦泰國票03購01
074088,聯電富邦05購01
076645,健策元大05購03
076823,恆大永豐05購02
00713,元大台灣高息低波
062996,致茂國票9C購01
063710,光寶科凱基9C購01
067101,華邦電群益01購02
068877,聯詠凱基03購04
069841,大毅群益02購04
075569,上緯控元大07購02
078908,T50正2富邦08購01
079433,開發金統一07購01
08695P,嘉晶群益01售01
062699,台積電元大01購02
066085,台積電富邦05購01
074842,旺宏群益04購04
078900,立積元大09購01
070319,GIS群益02購05
071369,友達群益03購01
075844,恆大國泰07購01
068472,聯發科群益01購12
069614,鴻海統一03購07
070593,欣興麥證02購04
5203,訊連
04612P,聯電中信06售01
068985,瑞儀元大02購04
069839,裕隆群益02購01
070390,欣興永豐02購11
073785,國巨凱基05購04
04629P,立積元富05售01
066182,康控凱基01購01
067943,矽格凱基01購04
068098,同欣電富邦01購02
068287,鴻海群益01購10
074021,玉晶光群益04購06
076147,玉晶光凱基06購01
076926,大立光元富05購08
1213,大飲
6289,華上
061446,鴻海中信04購01
07598P,臺股指中信01售03
04443P,世紀鋼群益04售07
073777,儒鴻凱基04購01
075604,台積電凱基08購02
076788,南茂元富05購01
078257,亞光群益06購01
065590,元黃金元大9C購01
068182,群創群益04購01
071884,聯詠麥證03購01
073100,松翰統一06購01
074560,晶豪科凱基05購01
077101,健策兆豐06購01
077887,南亞科國票08購01
079606,鴻海國泰0B購02
03674P,上緯控國票03售02
03830P,南電國泰05售01
073391,T50反1元富07購10
073529,上証2X永豐04購01
075636,聯鈞永豐05購01
078221,國巨永豐06購01
079549,聯發科群益07購01
2731,雄獅
04898P,鴻海麥證08售01
04980P,南電元大05售06
065528,FBVIX中信04購01
074292,台積電兆豐05購04
03296P,台積電統一02售13
068251,大立光元大01購18
070976,力山元大04購01
071990,華通元富09購01
076797,台積電國票08購04
077779,道瓊銀凱基07購01
078002,玉晶光富邦07購01
079443,T50反1元富0C購01
2855,統一證
03507P,臺股指群益02售12
04214P,和大國票04售01
064524,GIS群益02購01
067077,智原元大01購04
067588,欣興群益01購04
068633,聯電凱基03購05
2340,光磊
2516,新建
03087P,聯發科元大01售24
069777,華擎元大02購04
079752,鴻海元富07購20
03159P,大立光元大01售21
04176P,華新科凱基05售05
075723,華新科元大05購01
078004,上証2X永豐06購01
00635U,元大S&P黃金
066228,嘉基國泰02購01
067184,聯發科凱基01購13
070429,聯發科統一04購07
070691,T50反1中信08購01
070938,燿華群益03購01
075566,奇力新元大05購02
076853,南帝凱基06購02
077431,聯成永豐05購02
079116,華新科凱基06購05
067199,滬深2X元大04購02
072002,鴻海永豐03購01
072102,台郡群益03購02
03202P,聯電凱基01售03
065986,金像電永豐01購03
066082,康友國泰03購01
077590,長榮統一06購02
067912,上証2X永豐01購03
076197,南電元富05購02
076546,臺股指元大05購38
078239,達麗元富0C購01
067893,玉晶光群益02購07
068061,台灣50兆豐01購03
068206,牧德凱基01購03
075841,大立光元富05購05
077113,長榮元富08購02
1313,聯成
03048P,南電國票03售01
062425,可成統一01購01
067770,台積電統一03購03
069705,國巨國票04購02
070367,美食國票03購03
074484,南亞科兆豐04購02
076871,鴻海元大05購13
079358,長榮航凱基07購01
068413,健策台新01購01
070029,貿聯國票03購01
070732,貿聯元大03購03
073172,大亞國票04購01
077027,健策凱基06購01
077963,順德元大06購01
04066P,祥碩群益03售02
062597,世紀鋼統一01購01
073448,日月光凱基04購03
074281,台積電群益05購05
075096,中磊永豐05購01
077634,國泰金群益06購01
064744,創意國票01購02
069547,聯發科元大02購18
069895,台積電元大02購34
063488,金像電國泰01購01
064088,大立光凱基02購01
070717,國喬元大03購01
071517,玉晶光永豐03購05
078410,聯陽永豐06購01
079403,臺股指國票0B購01
066775,智原富邦03購01
070564,FBVIX國泰03購02
03124P,台郡元大01售07
066723,聯電元大02購01
067138,正文永豐01購02
068993,嘉聯益永豐02購01
074279,鴻海群益04購03
074944,中纖凱基05購02
079763,志超元富06購01
08926P,台積電元富07售06
066966,國巨元富07購07
076417,GIS統一05購02
03610P,台灣50國票02售01
069750,柏文永豐02購01
070032,志超國票03購01
078584,凌陽元大06購01
067451,嘉晶國票02購01
070199,上銀元大02購04
072890,臺股指群益04購02
073622,聯電元富06購03
073850,聯陽元大04購02
075192,華立元大05購01
08848P,國巨群益01售06
04883P,臺股指群益05售17
065476,聯發科元大9C購14
065873,信邦群益02購01
069643,新光金日盛02購01
078198,晶技元大06購01
4927,泰鼎-KY
063833,致新國票01購01
068555,上証2X元大01購08
069860,精成科永豐02購02
070944,京鼎群益04購01
075901,香港2X元大05購02
03279P,滬深2X國票03售04
05284P,中興電群益09售02
069250,奇力新凱基03購01
071087,道瓊反群益03購01
075119,國喬凱基06購01
075346,上緯控群益05購01
03547P,鴻海凱基06售01
068351,鴻海凱基04購01
068391,玉晶光統一07購01
073295,元金2X中信06購01
073379,精元統一06購03
074063,大立光統一05購05
079476,義隆兆豐06購01
00640L,富邦日本正2
03105P,大立光元富04售02
05290P,國巨凱基06售06
066587,台船群益01購01
067948,群創國泰03購01
069100,TPK統一02購03
076600,友達群益05購02
07818P,台積電國票9C售01
063985,香港反富邦02購01
066540,景碩兆豐01購02
068114,富邦金元富07購01
073761,新日興元富08購01
077601,欣興元富05購08
078507,旺宏群益08購01
078608,臺股指元大06購12
079064,日月光國票07購02
066366,信邦中信02購01
074362,強茂國票06購01
077879,訊芯兆豐06購01
078052,佳世達元大06購01
03486P,欣興永豐02售07
075438,禾伸堂凱基05購01
076635,華邦電元大05購07
079705,SP黃豆群益06購02
1341,富林-KY
069647,世紀鋼康和04購01
074431,精元凱基04購03
075942,致新國票08購01
077893,道瓊銀凱基06購01
078765,聯發科中信0A購01
03723P,金像電元大03售02
069519,鎧勝凱基02購02
071525,友達元富09購03
072463,彩晶統一04購02
073700,大立光元大05購05
079006,華新科凱基0A購01
6443,元晶
061140,華擎統一9C購01
03762P,創意國泰03售02
065240,矽創凱基01購01
068826,群創元大05購01
069978,台積電凱基02購20
072779,台勝科康和04購01
073424,晶技永豐04購01
077267,惠特元大05購03
04957P,台積電國票08售05
071490,國巨兆豐04購01
073796,滬深2X群益04購03
076233,華新科群益05購02
5525,順天
069193,景碩統一05購01
070794,儒鴻國票03購01
03221P,和大凱基02售03
03599P,可成凱基02售08
062336,茂林統一01購02
064361,旺宏統一01購06
064454,華新科統一01購03
073247,精英國泰06購01
075917,華新科元大05購06
076192,萬海元富05購02
064948,致茂凱基01購01
073187,東鋼康和04購01
078621,中興電群益09購01
063667,全新統一01購02
066310,長興永豐01購01
066597,緯穎群益02購01
071972,可成元大03購03
072035,宏碁元大03購02
074443,鈺齊凱基05購01
066850,鎧勝元大01購03
068568,聯詠元大01購10
071346,長榮航元富09購01
04705P,可成元富05售03
064061,GIS麥證01購01
072834,國巨元大04購05
072900,台積電凱基04購08
073462,力山元大04購02
075008,華通兆豐06購01
077636,日月光群益07購01
078784,鴻海日盛07購01
068547,台積電群益01購21
072667,嘉澤元大03購03
076278,台聚兆豐05購01
03165P,台表科元大01售06
03813P,南電元大03售06
05395P,T50正2元大09售04
070303,冠德凱基03購01
071254,晶技麥證03購02
075218,群創凱基06購02
075310,亞德客元大05購02
078419,致新永豐06購01
05080P,世紀鋼元富05售01
062796,技嘉統一9C購01
065443,智邦統一9C購03
068394,GIS統一03購02
070775,台積電兆豐03購11
073747,玉晶光統一08購02
078539,華邦電國泰08購02
060011,臺股指群益9C購06
067531,台積電群益01購13
069528,道瓊銀群益02購03
073878,儒鴻永豐04購01
074085,聯電台新04購03
076186,華夏元富05購01
063407,泰鼎國票9C購01
068769,義隆統一04購01
075228,友達國票06購05
075249,大亞元富08購01
078026,微星凱基07購01
078791,華新科康和06購01
079262,TPK元大06購01
079512,元金2X元大07購01
3013,晟銘電
069913,世紀鋼麥證02購01
070400,台泥元大02購02
070754,智邦群益03購03
072528,聯發科元大03購22
074124,燿華國票05購01
074254,臺股指國票04購06
078224,京鼎永豐06購01
04119P,台積電國票05售06
04318P,聯電元富04售02
079776,聯發科永豐06購01
8499,鼎炫-KY
03960P,台灣50凱基03售08
064843,巨大統一02購01
067368,技嘉統一03購01
078807,亞光凱基06購01
067200,深中小元大03購01
068209,彩晶凱基04購02
6531,愛普
04388P,SP黃豆國票04售05
070862,金像電統一04購03
075928,臺股指元大05購16
6581,鋼聯
067886,台積電群益02購03
068720,台積電元大02購14
070714,S&P反1元大03購02
072296,中信金國票03購01
077326,欣興永豐05購03
067140,鎧勝永豐01購02
073110,和桐元富08購01
074368,亞光國票05購01
076320,鴻海元大07購01
067314,新日興元大01購02
067828,聯鈞兆豐03購01
069762,啟碁兆豐03購01
076482,台積電群益06購02
077044,國巨永豐05購02
077581,新唐元大05購01
00625K,富邦上証+R
068397,世紀鋼統一03購01
068672,聯發科統一02購10
071615,國巨元大04購02
072998,臻鼎群益04購01
073461,遠東新元大04購01
04974P,台積電元大05售18
05131P,景碩元大06售07
068175,T50反1群益01購09
069231,臺股指群益02購06
070187,中工群益03購01
071696,康控國票04購01
03268P,可成元大02售01
065259,燿華元大9C購05
070385,正隆永豐02購01
076798,聯發科國票07購03
077784,泰豐凱基06購01
078032,長榮凱基06購02
6189,豐藝
069092,台達電統一03購03
075448,欣興麥證05購02
077165,大立光元大05購18
077718,景碩元大06購03
068392,彩晶統一03購01
071728,統一群益04購01
072917,南亞元大04購01
073754,台積電元富08購23
04538P,聯電群益04售14
062452,A50正2群益01購04
065199,華擎元富03購01
067210,聯發科元大01購18
068419,聯發科兆豐03購02
076449,T50反1元大08購05
063905,健策麥證02購01
065786,神基永豐9C購01
079707,大成鋼群益07購01
6196,帆宣
059232,台灣50凱基03購01
072017,康那香永豐03購02
07271P,台灣50元大9C售04
075163,臺股指元大05購11
078013,彩晶永豐06購01
9105,泰金寶-DR
067354,國揚群益01購03
068439,信邦凱基01購02
068655,台積電元大02購08
075088,京元電富邦08購01
078238,牧德元富0C購01
079096,台積電兆豐07購01
067090,南六元大01購04
069474,世紀鋼國票03購01
071544,永光元大03購01
074138,友達元大04購05
078925,全新永豐06購01
079762,玉晶光元富06購08
08547P,大立光中信9C售04
069559,美律麥證02購01
070278,台積電凱基06購01
3661,世芯-KY
067038,滬深2X凱基04購02
075737,T50反1富邦05購02
076647,嘉聯益元大05購04
065266,創意元大9C購05
077379,玉晶光元大05購07
04102P,上銀凱基03售03
065288,華新科群益02購02
074249,華擎國票05購01
076209,臺股指國票09購04
077707,興勤元大06購01
03151P,聯發科群益01售14
069584,中壽永豐02購01
071521,旺宏元富09購01
08937P,大立光元大01售14
057613,瑞昱元富02購02
069757,台積電兆豐04購01
074559,奇力新凱基05購02
078602,力成元大06購02
064431,台積電凱基01購05
068291,大立光群益03購01
068482,光寶科元大01購01
078618,T50正2群益07購01
04278P,聯發科凱基04售06
064196,健策群益01購01
00763U,街口道瓊銅
03208P,國巨中信02售02
063440,上銀統一01購02
069638,百和元富03購01
073575,奇鋐元大04購02
075408,上緯控統一06購01
076036,T50反1國票09購03
076212,上証2X富邦07購01
077978,健策元大06購03
00762,元大全球AI
065325,亞光凱基9C購01
066644,瑞昱麥證01購01
067634,高鐵永豐01購01
074344,聯電統一07購01
074800,嘉晶統一04購01
079037,台光電元大06購02
03107P,台積電元大01售39
067876,世紀鋼元大01購03
072676,智邦國泰05購01
00757,統一FANG+
03081P,華通元大01售06
069540,聯電元大02購14
070283,國產凱基03購01
074681,國揚統一05購02
078326,恆大康和06購01
03135P,台灣50麥證01售03
04893P,臺股指國票05售13
072753,樺漢元大03購01
073230,喬山群益04購01
077067,愛普統一06購03
078668,旺宏元大06購07
03099P,玉晶光凱基03售01
066837,樺漢群益01購02
069434,景碩群益03購02
070724,冠德元大03購01
075040,華邦電國票06購01
078737,友達元富06購02
03349P,台灣50麥證02售04
04404P,台灣50凱基04售19
066009,創意統一02購02
069419,瑞儀統一03購01
073538,南亞科永豐04購01
1477,聚陽
066608,國巨麥證01購03
068425,道瓊銀凱基04購01
069545,金像電元大02購08
078106,和桐元富0C購01
078582,佳世達元大06購02
6670,復盛應用
05096P,景碩凱基05售06
064546,燿華凱基02購01
067784,富邦金群益02購01
068303,台積電國票01購08
071583,台郡群益03購01
076851,聲寶凱基05購01
066681,聯發科兆豐01購04
072803,松翰國票05購02
073600,台積電兆豐05購02
074740,華立元大04購01
078118,強茂元富09購02
079626,世芯永豐06購01
2883,開發金
04178P,祥碩凱基04售03
04771P,臻鼎元富05售01
070443,世紀鋼凱基02購03
074061,國巨統一06購02
08875P,台積電中信07售02
03920P,緯穎永豐03售03
069086,瀚宇博凱基02購02
074909,中石化元富0A購01
079691,道瓊銀國票09購01
03229P,臺股指凱基02售07
04070P,台積電國票03售15
05148P,緯穎元富06售01
073870,嘉聯益國票04購01
075025,義隆元大05購01
075650,海悅群益05購01
076098,滬深2X群益06購01
05484P,台灣50元富09售02
072133,華夏元大03購02
077049,長榮永豐05購02
078376,彩晶元大06購05
4956,光鋐
04065P,上銀群益03售06
04681P,華新科元富07售04
072894,味全凱基07購01
074904,嘉聯益統一06購01
078528,玉晶光凱基07購02
2613,中櫃
072912,台塑化凱基04購01
073310,南帝群益04購01
074590,玉晶光群益04購07
074854,南帝兆豐06購01
064084,群創中信06購02
068176,滬深2X群益01購10
071142,啟碁元富09購02
076815,世紀鋼國泰07購01
059494,國巨國票9C購01
064332,聯發科元大01購01
066713,台灣50元大01購21
070748,神隆群益03購01
077937,瑞儀群益06購01
2302,麗正
6672,騰輝電子-KY
04484P,台積電國票05售10
066437,台泥群益02購01
04140P,嘉澤國票03售01
04161P,台表科國票04售01
04548P,聯電元大04售19
05416P,晶碩國票07售02
065148,滬深2X群益02購02
070487,京鼎永豐02購01
074576,瑞昱永豐04購02
073944,鴻海凱基05購05
07756P,台灣50國票04售01
03006X,元展06
078550,台積電永豐06購02
08701P,景碩康和01售02
03280P,台積電凱基02售14
074329,創意元大04購03
077600,順德元富05購01
2049,上銀
065806,貿聯群益9C購05
071305,德律元大03購01
074202,亞德客兆豐04購01
076306,智伸科元富05購01
078487,旺宏國票08購03
2014,中鴻
04748P,亞德客元富0B售02
065699,南亞科群益9C購02
066371,同欣電中信05購01
072214,華新科國泰05購01
079290,同欣電統一06購03
08241P,微星中信06售01
04635P,玉晶光凱基05售06
064182,臻鼎富邦01購01
065467,臺指反元大03購03
068937,TPK永豐02購01
070162,群創兆豐03購02
072293,南亞國票03購01
076803,萬海國票06購03
08886P,台積電富邦04售04
03298P,台積電統一03售15
05489P,華邦電永豐06售06
064639,聚陽凱基02購01
067078,京鼎元大01購04
067395,金像電永豐01購04
067763,鈺齊永豐01購01
072690,冠德永豐03購02
077557,聚陽元大05購02
078335,台積電凱基0A購02
3055,蔚華科
04206P,聯電凱基04售05
05149P,南電元富06售06
1737,臺鹽
04309P,臺股指麥證04售02
064444,聚陽統一01購02
066389,南港凱基01購01
069508,健策永豐02購01
070218,百和元大02購03
076906,道瓊銀國票08購01
08751P,友達群益01售01
067423,南亞科凱基02購01
067642,貿聯統一01購03
068653,鴻海元大02購03
070413,美食元大02購02
068566,聯發科元大01購31
069046,國巨元富08購02
071906,台灣50元大04購05
072213,強茂國泰05購01
08721P,臺股指元大01售02
05417P,臺股指國票0B售02
075664,道瓊反國票07購02
03794P,大立光麥證03售03
065522,旭富群益9C購03
067086,中磊元大01購01
069072,T50反1第一02購01
069409,聯發科統一04購02
072316,啟碁元富06購02
03351P,台積電麥證02售07
068280,滬深2X中信01購03
069900,全新元大02購03
070461,臺股指元大03購18
078825,瑞昱國票08購01
078887,華新科元大07購01
00730,富邦臺灣優質高息
1712,興農
6213,聯茂
03467P,臺股指中信04售06
062337,台表科統一01購01
066321,華碩永豐01購01
072239,精元國票04購02
075909,裕隆元大05購02
076312,元金2X元大05購05
079346,亞聚凱基06購01
00693U,街口S&P黃豆
03528P,日月光凱基02售02
065677,南亞科統一03購02
065997,元黃金國票03購01
068462,帆宣國票03購01
03781P,聯陽國票04售01
066606,聯詠永豐01購01
076510,臺股指凱基05購24
077720,景碩元大07購01
071224,致伸統一03購01
076049,奇鋐國票07購01
3504,揚明光
071402,矽力國票04購01
063366,台表科富邦9C購02
065403,健鼎國泰02購01
069304,台達電凱基02購03
069606,智易國票03購01
069957,中租永豐02購01
073709,玉晶光元大04購07
076374,新興凱基05購01
08755P,台灣50元大01售17
05222P,立積永豐06售01
064686,鴻海群益01購03
067945,台積電國泰03購03
070492,國巨凱基02購12
072346,祥碩凱基04購02
072762,技嘉國泰05購01
076894,台表科元大05購05
04249P,世紀鋼國票05售03
04924P,台灣50富邦06售02
05438P,華邦電元大06售10
069085,日月光凱基03購01
071606,聯發科麥證03購02
073236,光罩群益04購01
066646,聯發科麥證01購03
068505,GIS元大01購06
069291,為升中信04購01
070007,華碩元大03購01
071353,中興電永豐03購02
072969,日月光統一04購01
073042,旺宏元富0A購01
076168,中壽元大05購01
076927,大立光元富05購09
078553,華晶科永豐06購02
08893P,京元電元大01售06
03694C,臺股指元大04牛08
077862,京元電富邦07購01
078361,華邦電元大06購05
006203,元大MSCI台灣
020015,統一MSCI美低波N
03285P,滬深2X群益02售05
066248,長興元大01購01
075276,大立光永豐05購01
075746,聯詠永豐05購01
2497,怡利電
04908P,台積電統一06售06
065412,金像電永豐9C購01
067375,大立光統一03購03
071513,中鋼永豐03購01
075138,群創永豐05購01
075740,啟碁富邦07購01
076886,聯詠元大05購05
2530,華建
072059,瑞昱群益04購02
072605,世紀鋼康和03購01
076626,S&P反1元大07購02
078614,聯發科兆豐07購02
03346P,聯發科元富03售09
059495,台灣50元富9C購02
068020,玉晶光國票02購07
074075,台積電元富08購25
03548P,美律凱基02售03
069246,精元凱基02購02
071136,聯發科元富09購02
074564,玉晶光凱基04購09
075370,南帝兆豐06購02
077083,緯創元富05購01
077263,帆宣元大05購01
04483P,台積電國票04售11
05456P,台灣50凱基06售12
066161,力山凱基01購01
074157,宏碁凱基05購01
077983,彩晶元大08購02
063830,智伸科國票01購01
065686,同欣電統一03購01
068776,台積電元富08購01
073699,大立光元大04購12
4977,眾達-KY
03823P,南亞科國票04售01
078939,精成科永豐06購02
066301,大成永豐01購01
066748,同欣電元大01購03
075817,大成鋼國票06購03
066884,亞光永豐01購01
070990,中興電群益03購01
2375,凱美
04690P,台灣50中信05售02
064312,大立光群益01購01
064537,健鼎國票01購02
068544,台積電兆豐03購04
070797,金像電國票03購04
079462,亞光元富06購01
08433P,臺股指凱基03售01
068344,台積電麥證01購13
075440,健策凱基05購01
078370,和鑫元大06購02
5484,慧友
063391,南電兆豐9C購01
066806,京鼎凱基02購01
067696,欣興兆豐03購01
075472,台積電富邦08購04
077705,友訊元大06購02
073924,聯陽元大04購03
074895,台積電統一06購04
078121,玉山金元富0C購01
03609P,可成元大02售02
057832,聯發科元富02購05
065342,華邦電統一02購01
069381,強茂元大02購01
069503,聯電永豐02購06
070751,台積電群益03購06
075697,景碩統一07購02
076447,大立光麥證09購01
1466,聚隆
03011Q,恒指麥證03售05
03724P,金像電元大03售03
077336,友達中信07購01
03693P,臺股指凱基05售03
064732,GIS統一01購03
066634,泰碩凱基02購02
067891,玉晶光群益02購05
068609,華擎凱基03購01
078173,大成鋼兆豐06購01
079730,金寶統一06購01
071091,強茂群益04購01
074350,聯發科統一07購01
074361,正崴國票05購01
074736,友達元大05購02
079067,日月光國泰08購02
079145,金像電元大07購02
070455,泰碩元大02購01
072024,晶豪科凱基03購01
073065,台勝科凱基06購01
074563,新日興凱基05購01
074580,拓凱永豐04購01
075283,順德凱基05購01
065900,瑞祺國泰02購01
066264,金像電元大01購01
068648,臺指反元大02購19
071083,啟碁元大03購03
03380P,欣興群益02售06
066199,金像電統一02購01
069453,南電統一02購02
074777,彩晶凱基06購02
065408,華通永豐9C購02
070817,新興元大03購01
076069,亞德客元富0B購01
6230,超眾
05488P,旺宏富邦06售02
063504,國巨群益9C購06
073920,友達元大07購01
076424,英業達元富05購01
077605,長榮國泰08購01
04399P,景碩國票05售02
064476,金像電國泰02購01
067072,建準元大01購01
071068,啟碁永豐03購01
073508,松翰元富0A購01
067952,台光電永豐01購01
071299,微星元大03購03
074786,旺宏統一05購03
076720,南紡群益05購01
064222,玉山金國票01購01
066621,川湖凱基01購01
071036,鴻海元富09購01
071825,大立光元大05購02
075849,創意富邦07購01
077241,聚陽元大05購01
077375,奇鋐元大05購04
08794P,台積電兆豐01售03
063037,聯發科凱基9C購02
069165,國揚元大02購02
076712,南六永豐05購01
077821,SGBR2X元大06購03
068543,帆宣國票03購02
068735,康舒元大02購01
072928,智邦元大04購01
077392,台積電凱基06購08
077469,聯發科國票06購04
070587,貿聯凱基02購04
071359,德律永豐03購01
078525,美律凱基06購01
04431P,臺股指國票04售13
065296,國巨統一01購10
065690,台苯群益9C購01
066872,亞光國泰03購01
072740,南亞科元大03購01
076661,鴻海元富05購03
04675P,台灣50元富08售01
067675,中工元大03購01
071170,啟碁群益04購01
079520,國巨元大07購07
04522P,景碩群益04售02
065364,國巨元大9C購18
068308,強茂國票01購01
071093,貿聯群益03購01
072794,華邦電國票05購01
075232,嘉澤國票06購01
08064P,上証2X凱基9C售02
070389,強茂永豐02購03
077145,緯穎凱基05購04
08120P,南亞科國票9C售01
1439,中和
1467,南緯
03491P,台積電元大02售31
060520,臺指2X中信01購02
065827,正崴凱基9C購01
074567,瀚宇博凱基04購01
075987,智易群益06購01
03203P,台積電凱基01售26
068447,A50正2國票03購01
071417,南亞科兆豐03購01
071789,華夏群益03購01
071979,國巨國票05購03
4930,燦星網
065233,TPK凱基01購01
067577,FBVIX群益01購02
072673,緯穎元大03購06
074398,T50正2元大07購02
04973P,大立光凱基05售12
068923,鴻海國泰08購01
072573,SP黃豆元富04購02
079130,大聯大國票07購01
079131,和碩國票07購01
1453,大將
3450,聯鈞
063926,南亞科統一03購01
064107,友達兆豐01購01
064459,創意統一02購01
067856,寶成國票02購01
069047,台積電元富08購13
072633,台積電統一05購05
072845,中租元大07購02
074185,南電元富08購02
079341,寶成麥證06購01
03017Q,恒指麥證05售04
064533,技嘉國票01購01
064826,南亞科統一01購03
065764,康友元大9C購02
066155,華碩康和01購01
071845,燿華統一03購03
073097,精元統一06購02
074054,欣興元大04購06
075789,T50反1元大08購02
078352,彩晶凱基07購01
020018,統一價值成長30N
05315P,大成鋼國票07售01
066715,台灣50元大01購23
069835,高股息台新02購01
074850,南電群益04購05
075382,元金2X永豐05購01
6754,匯僑設計
069889,正隆元大02購01
075421,國巨中信06購01
075675,祥碩凱基05購02
076219,台聚永豐05購01
078014,達運永豐06購01
078253,國巨群益06購03
064421,技嘉兆豐01購01
067113,京鼎群益02購03
076592,技嘉兆豐05購01
077130,大成鋼凱基05購03
077457,國巨國票05購05
03039X,元展36
075750,矽格永豐05購01
04561P,欣興中信05售02
066680,友達兆豐01購02
070703,日月光凱基03購02
075700,台郡統一05購03
075732,台表科元大05購03
076782,國巨元富05購03
03173P,台灣50國票03售02
057834,聯發科元富02購07
058439,玉晶光統一01購02
068143,國巨元大01購14
070156,欣興台新02購02
070177,鈺齊永豐02購01
068982,健策元大02購06
072193,台積電群益03購18
075156,緯創元大05購01
076131,嘉聯益兆豐06購01
03432P,欣興元大02售10
065984,緯創富邦03購01
078751,台積電國票08購07
076925,長榮航元富08購02
078662,鴻海元大06購10
04925P,臺股指富邦05售03
05346P,台灣50凱基06售11
072231,大立光康和04購01
072558,全新統一03購03
074755,立積永豐04購04
079464,彩晶元富06購01
04323P,亞德客國泰06售01
069471,同欣電國票03購01
071668,聯發科中信03購05
075719,聯電元大06購04
04711P,臺股指中信06售03
068354,燿華凱基01購03
068373,華通永豐01購02
072275,台光電兆豐03購02
075010,友達兆豐06購01
020000,富邦特選蘋果N
070605,台積電統一04購13
072217,台勝科永豐03購01
074228,台表科元大04購02
077308,鴻海富邦07購01
078736,華邦電元富0C購01
070281,微星凱基03購01
074277,台苯群益04購01
076150,眾達凱基06購02
08933P,上銀元大01售02
4532,瑞智
03630P,國巨統一02售09
05254P,華邦電群益06售06
066192,嘉基凱基01購01
068000,聯詠元大01購09
070936,金寶群益05購01
070972,潤泰新凱基03購02
075198,台郡元大05購01
04801P,臺股指國票06售12
067747,同欣電元大01購04
068060,聯發科中信04購01
076866,SP黃豆元大06購05
078527,華晶科凱基06購03
03161P,景碩元大01售03
04330P,台灣50群益04售09
05016P,台達化群益05售02
069318,金像電兆豐03購02
070865,奇鋐統一04購02
063348,祥碩統一01購04
072039,致伸元大03購02
077036,臺股指凱基05購30
