03848P,國泰金元大03售02
070000,國喬元大02購01
05158P,大立光元大06售02
067024,旺宏兆豐03購01
067636,復盛永豐01購01
069345,台勝科群益04購01
071545,裕隆元大03購01
074518,華晶科國票05購01
079434,群創統一08購01
08110P,臺股指中信01售05
066595,敦泰群益01購01
073932,材料元大04購02
078377,同欣電元大06購01
078447,旺宏第一06購01
078600,臻鼎元大07購01
04455P,欣興群益04售04
063118,中鋼元大9C購01
075071,元金2X凱基06購01
03549P,聯發科凱基02售10
03657P,國巨群益03售07
04654P,T50正2國票08售02
065707,聯詠群益9C購02
067963,宏碁群益02購01
074749,達新永豐04購01
08733P,臺股指麥證01售05
066519,達方永豐01購01
072326,台積電富邦06購01
074472,精元永豐04購01
077874,華通兆豐06購02
03784P,貿聯元富06售01
059713,滬深2X元大9C購04
066092,億豐永豐01購01
068302,國巨國票01購02
071094,正文群益04購01
077511,鴻海群益05購04
079459,長榮航元富09購02
00708L,元大S&P黃金正2
05051P,聯電元富05售07
063347,祥碩統一01購03
065507,亞德客群益01購02
073724,南亞科國票05購01
075597,SGBR2X凱基07購01
077243,聯電元大05購10
05347P,聯發科凱基06售09
067369,瑞昱統一01購07
068500,華擎元大01購09
069306,國巨凱基04購05
074015,永冠群益04購02
3443,創意
063318,京鼎群益9C購02
066594,聯詠群益01購01
069588,長興國票02購01
072042,精成科元大03購03
072185,禾伸堂兆豐04購01
078175,南亞科兆豐06購01
1611,中電
1614,三洋電
066442,華碩群益01購01
072411,祥碩統一05購02
078349,群創凱基09購03
03032P,華通國票03售01
04213P,聯電元大04售03
059777,台灣50元大9C購18
071604,國巨麥證03購03
072837,聯強元大07購01
073266,勝一永豐04購01
073476,奇鋐元大05購01
074352,大立光統一07購02
03305P,台達電台新02售01
03308P,臺股指中信05售03
04043P,世紀鋼凱基03售05
057718,旺宏元富02購02
075553,大成鋼元大06購01
077923,漢唐群益06購01
04279P,大立光凱基04售07
066631,聯詠凱基03購01
070037,日月光國泰03購01
070108,台積電元大04購02
076267,廣宇凱基05購01
05341P,聯發科富邦08售02
059607,台積電富邦9C購04
